pasos,ep_rew_mean
6587852,893.05
6594589,898.0
6600635,875.1
6606770,899.8
6612985,892.6
6618995,894.1
6625164,886.45
6630800,886.25
6636810,865.85
6643787,897.65
6650591,929.25
6657893,955.8
6664205,976.55
6670367,926.65
6675952,896.1
6682375,883.9
6688321,862.55
6694439,875.4
6700989,897.9
6707729,922.2
6713646,949.2
6719907,927.6
6725325,887.8
6731915,874.0
6737666,856.35
6743486,840.15
6749355,847.85
6755176,842.45
6761829,842.3
6767858,852.5
6774147,874.95
6780724,889.5
6786404,879.85
6793094,902.0
6798649,869.4
6804427,870.05
6810134,846.25
6816358,848.55
6822334,824.8
6828356,817.85
6834579,849.1
6840672,855.4
6846758,875.1
6853048,882.35
6859573,890.7
6865776,882.9
6872300,896.5
6878589,924.55
6885337,910.45
6891811,942.75
6899098,1002.55
6905300,974.6
6911362,953.0
6917464,923.0
6923895,890.35
6929869,884.05
6934793,833.6
6940563,839.9
6947450,847.5
6952941,851.4
6958991,865.9
6965597,862.65
6971362,846.55
6977264,863.4
6982824,857.65
6989111,848.9
6994574,835.05
7000617,853.65
7007481,885.9
7013400,878.9
7019941,901.5
7025992,906.1
7031419,862.0
7036971,857.5
7042783,829.45
7049295,822.75
7055014,836.2
7061139,872.8
7068007,894.3
7073911,894.6
7080166,900.1
7086600,906.0
7091895,834.4
7097834,819.1
7103398,807.8
7109644,801.75
7115236,838.2
7121386,857.65
7128052,910.7
7134216,933.3
7141073,933.15
7147158,935.15
7152968,883.7
7159421,874.4
7165313,849.85
7172397,900.2
7178046,905.2
7184302,889.55
7190782,914.7
7196632,892.5
7203542,917.35
7209667,916.15
7215682,871.9
7221871,876.1
7227534,842.05
7233882,843.0
7240065,870.35
7245936,846.1
7252377,894.3
7258732,907.7
7264453,877.25
7271034,905.35
7277674,915.8
7283777,895.7
7289820,907.1
7295519,861.25
7301554,843.35
7307677,846.4
7313059,804.85
7319307,858.1
7325931,886.2
7332126,897.8
7339195,958.55
7345451,940.35
7351488,914.45
7357876,913.95
7363563,874.95
7370917,912.35
7377138,928.45
7384702,968.9
7390706,975.95
7396299,932.9
7403131,916.95
7408815,840.9
7414471,836.65
7421165,852.65
7426964,847.85
7433681,878.35
7440108,908.35
7446714,936.6
7452986,933.6
7460090,963.9
7465710,924.35
7471790,910.55
7477666,872.8
7484211,861.55
7490045,862.65
7495986,848.95
7501847,852.1
7508306,863.45
7514339,868.05
7520072,868.75
7526639,893.05
7532746,901.35
7538670,874.05
7544976,879.5
7550599,856.1
7557363,864.5
7563003,877.65
7568706,863.5
7574125,853.05
7579768,832.0
7585913,850.7
7592265,894.8
7598163,879.2
7604944,913.6
7610993,904.55
7617177,883.2
7623434,908.45
7631315,973.5
7637587,961.6
7643177,957.25
7650005,945.15
7656239,900.9
7662509,920.85
7668819,929.0
7674889,908.45
7681151,893.5
7687669,891.4
7693142,845.9
7699121,852.3
7705399,857.45
7711353,839.05
7717646,895.35
7724570,917.85
7729957,892.5
7737156,951.5
7743383,942.7
7749810,944.8
7756068,963.25
7762492,946.95
7769127,946.8
7775156,913.25
7781251,915.75
7787214,889.25
7793446,896.85
7800163,921.9
7806553,939.4
7812254,920.0
7818548,918.55
